CNPJ;Ano;Trimestre;ValorDespesas
335754;2024;2T2024;262164335.63
335754;2024;3T2024;382809126.46000004
335754;2024;4T2024;512772993.9
335789;2024;2T2024;86690873.27
335789;2024;3T2024;119782883.83
335789;2024;4T2024;154669525.28
336017;2024;4T2024;20659235.52
336025;2024;2T2024;659550.03
336025;2024;3T2024;901626.41
336025;2024;4T2024;1154524.42
336106;2024;2T2024;956419198.07
336106;2024;3T2024;1413508330.83
336106;2024;4T2024;1873758483.92
336238;2024;4T2024;1154790.6099999999
336467;2024;2T2024;46283615.15
336467;2024;3T2024;70606403.3
336467;2024;4T2024;91359967.99
336831;2024;2T2024;362822155.85
336831;2024;3T2024;535665748.51
336831;2024;4T2024;635788895.1
336858;2024;2T2024;275381340.61
336858;2024;3T2024;420585213.41
336858;2024;4T2024;1857369958.1100001
336874;2024;4T2024;6350529.359999999
337188;2024;2T2024;753374702.85
337188;2024;3T2024;1158650990.31
337188;2024;4T2024;1514148153.79
337374;2024;2T2024;851797826.91
337374;2024;3T2024;1241336335.47
337374;2024;4T2024;1660891240.22
337498;2024;2T2024;219806642.11
337498;2024;3T2024;332965596.19
337498;2024;4T2024;432030700.23
337561;2024;2T2024;50451439.77
337561;2024;3T2024;70970911.69
337561;2024;4T2024;87923223.59
337668;2024;2T2024;1593489126.77
337668;2024;3T2024;2376392238.9900002
337668;2024;4T2024;3089251880.97
337871;2024;2T2024;465573813.24
337871;2024;3T2024;702276008.96
337871;2024;4T2024;943747742.18
338346;2024;2T2024;138854809.26
338346;2024;3T2024;280770671.5
338346;2024;4T2024;404466994.41
338648;2024;2T2024;520083230.09000003
338648;2024;3T2024;759292244.23
338648;2024;4T2024;917325346.02
339458;2024;2T2024;12268037.62
339458;2024;3T2024;17883592.91
339458;2024;4T2024;23901751.0
339636;2024;4T2024;353016577.23
339679;2024;2T2024;24331464769.73
339679;2024;3T2024;34603832407.27
339679;2024;4T2024;45410836044.17
339954;2024;2T2024;1821782084.32
339954;2024;3T2024;2723053388.66
339954;2024;4T2024;3664637997.53
340120;2024;4T2024;13594390.6
340162;2024;2T2024;18140983.61
340162;2024;3T2024;18140983.61
340162;2024;4T2024;33144109.240000002
340251;2024;2T2024;187074820.19
340251;2024;3T2024;279042749.61
340251;2024;4T2024;360369374.9
340782;2024;2T2024;2221845530.76
340782;2024;3T2024;3069670746.58
340782;2024;4T2024;3849827726.39
340952;2024;2T2024;1056772848.76
340952;2024;3T2024;1594870520.25
340952;2024;4T2024;2123483769.0
341819;2024;2T2024;1497737.8499999999
341819;2024;3T2024;2525202.13
341819;2024;4T2024;3067362.3
341894;2024;4T2024;5045001.59
341941;2024;2T2024;54208544.49
341941;2024;3T2024;83248763.16
341941;2024;4T2024;108152390.44
342033;2024;2T2024;1764117466.3899999
342033;2024;3T2024;2753636321.39
342033;2024;4T2024;3614094507.1400003
342084;2024;2T2024;3666038709.54
342084;2024;3T2024;5555373920.32
342084;2024;4T2024;7276491196.4
342131;2024;2T2024;133437328.87
342131;2024;3T2024;138810754.63
342131;2024;4T2024;236071320.65
